equipment_internal_id,client_name,dolibarr_ref,dolibarr_label,first_observed_event_date,last_observed_event_date,observed_event_count,valid_interval_count,avg_interval_days,median_interval_days,selected_model,model_family,model_reason,estimated_life_days,estimated_life_months,estimated_life_p10_days,estimated_life_p50_days,estimated_life_p90_days,credible_interval_low_days,credible_interval_high_days,machine_weight,cohort_weight,cohort_source,n_events,n_intervals,n_censored_observations,replacement_rate_per_year,manufacturer_life_months,manufacturer_life_source,observed_vs_manufacturer_ratio,predicted_next_replacement_date,prediction_status,comparison_to_manufacturer,model_confidence_score,model_confidence_label,model_confidence_factors,statistical_notes,estimate_status,lifecycle_confidence_score,lifecycle_confidence_label,lifecycle_confidence_factors,min_interval_days,max_interval_days,stddev_interval_days,p25_interval_days,p75_interval_days,estimated_life_method,after_hours_ratio,notes
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2020-04-23T12:00:22.726Z,2025-05-22T14:50:00.000Z,14,13,142.69,112.23,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=13 intervalos): se ajustó un Weibull bayesiano estable.,112.23,3.69,19.98,112.23,325.54,19.98,325.54,,,,14,13,0,3.25,,NO_DATA,,2025-09-11T20:21:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,92,Alta,13 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 61 meses de cobertura (+12) | coeficiente de variación 0.81 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 13 intervalo(s) usados, prior centrado en 109 días (moderate).",DIRECT_HISTORY_ENOUGH,92,Alta,13 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 61 meses de cobertura (+12) | coeficiente de variación 0.81 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),5,393,,,,BAYESIAN_WEIBULL_GRID,0.67,
Linac-153935,UC CHRISTUS - CECA,1534958,Leaf motor spares kit,2021-06-04T18:30:00.000Z,2025-11-12T14:15:00.000Z,13,12,135.17,78.39,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=12 intervalos): se ajustó un Weibull bayesiano estable.,78.39,2.58,6.55,78.39,363.29,6.55,363.29,,,,13,12,0,4.66,,NO_DATA,,2026-01-29T23:36:36.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,92,Alta,12 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 53 meses de cobertura (+12) | coeficiente de variación 1.15 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 12 intervalo(s) usados, prior centrado en 82 días (moderate).",DIRECT_HISTORY_ENOUGH,92,Alta,12 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 53 meses de cobertura (+12) | coeficiente de variación 1.15 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),4,508,,,,BAYESIAN_WEIBULL_GRID,0.27,
Linac-152171,CLINICA ALEMANA DE SANTIAGO,1534958,Leaf motor spares kit,2024-10-07T14:23:00.000Z,2025-11-25T14:36:00.000Z,10,9,46,37.85,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=9 intervalos): se ajustó un Weibull bayesiano estable.,37.85,1.24,5.78,37.85,123.39,5.78,123.39,,,,10,9,0,9.65,,NO_DATA,,2026-01-02T11:00:00.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,73,Media,9 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 14 meses de cobertura (+8) | coeficiente de variación 1.07 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=9 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 9 intervalo(s) usados, prior centrado en 64 días (moderate).",DIRECT_HISTORY_ENOUGH,73,Media,9 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 14 meses de cobertura (+8) | coeficiente de variación 1.07 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=9 intervalos (<10) (-10),5,166,,,,BAYESIAN_WEIBULL_GRID,0.6,
INC-INFINITY01,Instituto Nacional del Cáncer (INC),1534958,Leaf motor spares kit,2023-10-19T15:42:00.000Z,2024-05-07T15:53:00.000Z,9,8,25.13,8,TRIMMED_MEAN_INTERVAL,DIRECT_HISTORY_ENOUGH,"Suficiente historial propio (n=8), pero el ajuste Weibull no fue estable (posterior en el borde del grid) - se usa la media recortada empírica.",25.13,0.83,1.7000000000000002,8,80.6,1.7000000000000002,80.6,,,,9,8,0,14.53,,NO_DATA,,2024-06-01T19:00:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,65,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 7 meses de cobertura (+4) | coeficiente de variación 1.44 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | Weibull no evaluado (n insuficiente) (+4) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),,DIRECT_HISTORY_ENOUGH,65,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 7 meses de cobertura (+4) | coeficiente de variación 1.44 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | Weibull no evaluado (n insuficiente) (+4) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),1,89,,,,TRIMMED_MEAN_INTERVAL,0,
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2019-01-15T11:30:00.000Z,2026-03-07T16:36:00.000Z,8,7,372.57,246.2,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=7 intervalos): se ajustó un Weibull bayesiano estable.,246.2,8.09,24.4,246.2,1006.93,24.4,1006.93,,,,8,7,0,1.48,,NO_DATA,,2026-11-08T21:24:00.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 86 meses de cobertura (+12) | coeficiente de variación 1.14 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 7 intervalo(s) usados, prior centrado en 267 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 86 meses de cobertura (+12) | coeficiente de variación 1.14 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),56,1006,,,,BAYESIAN_WEIBULL_GRID,0.34,
INC-156473,Instituto Nacional del Cáncer (INC),1534958,Leaf motor spares kit,2024-10-16T13:19:00.000Z,2026-02-26T21:01:00.000Z,8,7,71.14,40.13,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=7 intervalos): se ajustó un Weibull bayesiano estable.,40.13,1.32,3.17,40.13,189.73,3.17,189.73,,,,8,7,0,9.1,,NO_DATA,,2026-04-08T00:08:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,73,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 16 meses de cobertura (+8) | coeficiente de variación 0.97 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 7 intervalo(s) usados, prior centrado en 28 días (moderate).",DIRECT_HISTORY_ENOUGH,73,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 16 meses de cobertura (+8) | coeficiente de variación 0.97 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),4,159,,,,BAYESIAN_WEIBULL_GRID,0.14,
INC-156473,Instituto Nacional del Cáncer (INC),1541718,"FRU, Pancake Motor Assembly",2024-12-26T22:35:00.000Z,2026-03-27T12:05:00.000Z,8,7,65.14,40.53,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=7 intervalos): se ajustó un Weibull bayesiano estable.,40.53,1.33,3.38,40.53,189.86,3.38,189.86,,,,8,7,0,9.01,,NO_DATA,,2026-05-07T00:48:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,73,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 15 meses de cobertura (+8) | coeficiente de variación 1.14 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 7 intervalo(s) usados, prior centrado en 44 días (moderate).",DIRECT_HISTORY_ENOUGH,73,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 15 meses de cobertura (+8) | coeficiente de variación 1.14 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),2,197,,,,BAYESIAN_WEIBULL_GRID,0.27,
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2018-09-02T17:00:00.000Z,2023-07-28T20:24:00.000Z,7,6,298.33,202.66,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=6 intervalos): se ajustó un Weibull bayesiano estable.,202.66,6.66,21,202.66,797.74,21,797.74,,,,7,6,0,1.8,,NO_DATA,,2024-02-16T12:14:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 59 meses de cobertura (+12) | coeficiente de variación 1.10 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 6 intervalo(s) usados, prior centrado en 205 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 59 meses de cobertura (+12) | coeficiente de variación 1.10 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),43,875,,,,BAYESIAN_WEIBULL_GRID,0.43,
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133304800,SL ELECTRON GUN ASSY,2019-12-06T22:00:06.022Z,2023-10-30T13:00:00.000Z,6,5,284.8,279.13,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=5 intervalos): se ajustó un Weibull bayesiano estable.,279.13,9.17,89.93,279.13,546.85,89.93,546.85,,,,6,5,0,1.31,,NO_DATA,,2024-08-04T16:07:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,81,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 47 meses de cobertura (+12) | coeficiente de variación 0.57 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 5 intervalo(s) usados, prior centrado en 286 días (moderate).",DIRECT_HISTORY_ENOUGH,81,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 47 meses de cobertura (+12) | coeficiente de variación 0.57 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),89,469,,,,BAYESIAN_WEIBULL_GRID,0.61,
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1534958,Leaf motor spares kit,2020-07-14T17:25:00.000Z,2026-06-12T02:30:00.000Z,6,5,431.6,222.03,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=5 intervalos): se ajustó un Weibull bayesiano estable.,222.03,7.29,15.16,222.03,1111.11,15.16,1111.11,,,,6,5,0,1.65,,NO_DATA,,2027-01-20T03:13:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 71 meses de cobertura (+12) | coeficiente de variación 1.10 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 5 intervalo(s) usados, prior centrado en 171 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 71 meses de cobertura (+12) | coeficiente de variación 1.10 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),10,1151,,,,BAYESIAN_WEIBULL_GRID,0.41,
Linac-156187,RADIO ONCOLOGÍA DEL SUR,1534958,Leaf motor spares kit,2025-03-17T11:00:00.000Z,2026-06-01T12:00:00.000Z,6,5,88.2,69.38,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=5 intervalos): se ajustó un Weibull bayesiano estable.,69.38,2.28,9.57,69.38,231.1,9.57,231.1,,,,6,5,0,5.26,,NO_DATA,,2026-08-09T21:07:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,73,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 14 meses de cobertura (+8) | coeficiente de variación 1.13 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 5 intervalo(s) usados, prior centrado en 70 días (moderate).",DIRECT_HISTORY_ENOUGH,73,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 14 meses de cobertura (+8) | coeficiente de variación 1.13 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),28,266,,,,BAYESIAN_WEIBULL_GRID,0.1,
Linac-153935,UC CHRISTUS - CECA,1018559,"ASSY, BRACKET & FAN",2021-07-24T12:00:00.000Z,2025-08-20T14:20:00.000Z,5,4,372,372.68,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=4 intervalos): se ajustó un Weibull bayesiano estable.,372.68,12.24,177.04,372.68,594.94,177.04,594.94,,,,5,4,0,0.98,,NO_DATA,,2026-08-28T06:39:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,76,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 49 meses de cobertura (+12) | coeficiente de variación 0.37 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 4 intervalo(s) usados, prior centrado en 371 días (moderate).",DIRECT_HISTORY_ENOUGH,76,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 49 meses de cobertura (+12) | coeficiente de variación 0.37 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),196,530,,,,BAYESIAN_WEIBULL_GRID,0.3,
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1502613,Laser ODI Spares Kit,2021-12-30T19:00:00.000Z,2025-03-13T22:47:00.000Z,5,4,292,262.8,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=4 intervalos): se ajustó un Weibull bayesiano estable.,262.8,8.63,51.14,262.8,691.98,51.14,691.98,,,,5,4,0,1.39,,NO_DATA,,2025-12-01T17:59:00.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,72,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 38 meses de cobertura (+12) | coeficiente de variación 0.79 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 4 intervalo(s) usados, prior centrado en 272 días (moderate).",DIRECT_HISTORY_ENOUGH,72,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 38 meses de cobertura (+12) | coeficiente de variación 0.79 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),57,607,,,,BAYESIAN_WEIBULL_GRID,0.81,
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1024939,"ASSY, 40X40X10MM FAN, HEATSINK",2022-01-12T00:00:00.000Z,2024-11-06T21:31:00.000Z,5,4,257.5,258.75,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=4 intervalos): se ajustó un Weibull bayesiano estable.,258.75,8.5,119.81,258.75,418.82,119.81,418.82,,,,5,4,0,1.41,,NO_DATA,,2025-07-23T15:31:00.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,76,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 34 meses de cobertura (+12) | coeficiente de variación 0.38 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 4 intervalo(s) usados, prior centrado en 261 días (moderate).",DIRECT_HISTORY_ENOUGH,76,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 34 meses de cobertura (+12) | coeficiente de variación 0.38 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),134,373,,,,BAYESIAN_WEIBULL_GRID,0.68,
Linac-152171,CLINICA ALEMANA DE SANTIAGO,1564298,Diaphragm/DLG PCB,2023-10-06T19:45:00.000Z,2026-05-16T15:44:00.000Z,5,4,238.25,183.41,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=4 intervalos): se ajustó un Weibull bayesiano estable.,183.41,6.03,26.63,183.41,546.93,26.63,546.93,,,,5,4,0,1.99,,NO_DATA,,2026-11-16T01:34:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,72,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 31 meses de cobertura (+12) | coeficiente de variación 0.71 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 4 intervalo(s) usados, prior centrado en 131 días (moderate).",DIRECT_HISTORY_ENOUGH,72,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 31 meses de cobertura (+12) | coeficiente de variación 0.71 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),16,428,,,,BAYESIAN_WEIBULL_GRID,0.81,
Linac-109256,UC CHRISTUS - SCA,1564298,Diaphragm/DLG PCB,2024-07-12T15:23:00.000Z,2026-04-28T20:45:00.000Z,5,4,163.75,95.39,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=4 intervalos): se ajustó un Weibull bayesiano estable.,95.39,3.13,6.6,95.39,485.48,6.6,485.48,,,,5,4,0,3.83,,NO_DATA,,2026-08-02T06:06:36.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,68,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 22 meses de cobertura (+8) | coeficiente de variación 0.83 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 4 intervalo(s) usados, prior centrado en 105 días (moderate).",DIRECT_HISTORY_ENOUGH,68,Media,4 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 22 meses de cobertura (+8) | coeficiente de variación 0.83 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=4 intervalos (<10) (-10),1,333,,,,BAYESIAN_WEIBULL_GRID,0.52,
Linac-153935,UC CHRISTUS - CECA,1502613,Laser ODI Spares Kit,2019-03-14T20:30:00.000Z,2024-07-11T23:25:00.000Z,4,3,648.67,353.31,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=3 intervalos): se ajustó un Weibull bayesiano estable.,353.31,11.61,24.82,353.31,1700.83,24.82,1700.83,,,,4,3,0,1.03,,NO_DATA,,2025-06-30T06:51:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,72,Media,3 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 64 meses de cobertura (+12) | coeficiente de variación 1.18 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=3 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 3 intervalo(s) usados, prior centrado en 304 días (moderate).",DIRECT_HISTORY_ENOUGH,72,Media,3 intervalo(s) válidos (+10) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 64 meses de cobertura (+12) | coeficiente de variación 1.18 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=3 intervalos (<10) (-10),31,1504,,,,BAYESIAN_WEIBULL_GRID,0.59,
Linac-153935,UC CHRISTUS - CECA,1018265_proveedor_local,"Proveedor Local, FRU MOTOR BRUSH SET (ELECTROCRAFT)",2020-04-18T12:00:00.000Z,2024-07-23T23:35:00.000Z,4,3,519,503.57,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=3 intervalos): se ajustó un Weibull bayesiano estable.,503.57,16.54,123.62,503.57,1137.14,123.62,1137.14,,,,4,3,0,0.73,,NO_DATA,,2025-12-09T13:15:48.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,72,Media,3 intervalo(s) válidos (+10) | match por método débil (REF_LIKE) (+8) | asociación single (+12) | 51 meses de cobertura (+12) | coeficiente de variación 0.69 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=3 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 3 intervalo(s) usados, prior centrado en 491 días (moderate).",DIRECT_HISTORY_ENOUGH,72,Media,3 intervalo(s) válidos (+10) | match por método débil (REF_LIKE) (+8) | asociación single (+12) | 51 meses de cobertura (+12) | coeficiente de variación 0.69 (+6) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=3 intervalos (<10) (-10),163,877,,,,BAYESIAN_WEIBULL_GRID,0.79,
