lifecycle_event_id,fieldbeat_task_id,event_date,client_key,client_name,equipment_internal_id,equipment_uuid,task_type,task_state,technician_names,linked_zendesk_ticket_id,used_part_id,raw_part_identifier,part_name,quantity,dolibarr_product_id,dolibarr_ref,dolibarr_label,match_status,match_method,match_confidence,replacement_event_inferred,event_type_inferred,task_equipment_count,association_confidence_score,association_confidence_label,association_confidence_factors,after_hours_minutes,business_minutes,calculation_status,calculation_notes
"951_NOEQUIP_951|2|0|107043-11
107771-11",951,2021-01-25T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,"951|2|0|107043-11
107771-11","107043-11
107771-11","Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",,11724,107043,TCS computer HP RP5800 series,MATCHED,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,0,17,Insuficiente,task sin equipo asociado | match Dolibarr por método débil (REF_LIKE),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
952_NOEQUIP_952|2|0|SN,952,2021-02-05T19:30:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),,,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,,952|2|0|SN,SN,NA,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,65,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
953_NOEQUIP_953|2|0|1007545,953,2021-02-03T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,953|2|0|1007545,1007545,MLC reflector spares kit,,11569,1007545,MLC REFLECTOR SPARES KIT,MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,0,20,Insuficiente,task sin equipo asociado | match Dolibarr exacto/alias (REF_EXACT),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
953_NOEQUIP_953|2|1|451333326854,953,2021-02-03T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,953|2|1|451333326854,451333326854,"Mout, mirror (mylar)",,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
953_NOEQUIP_953|2|2|1010495,953,2021-02-03T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,953|2|2|1010495,1010495,Camera mirror assemb,,11570,1010495,CAMERA MIRROR ASSEMBLY,MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,0,20,Insuficiente,task sin equipo asociado | match Dolibarr exacto/alias (REF_EXACT),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
953_NOEQUIP_953|2|3|45133327662,953,2021-02-03T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,953|2|3|45133327662,45133327662,Beam Splitter mirror,,11571,45133327662,BEAM SPLITTER MIRROR ASSY,MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,0,20,Insuficiente,task sin equipo asociado | match Dolibarr exacto/alias (REF_EXACT),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
953_NOEQUIP_953|2|4|4513332766303F,953,2021-02-03T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,953|2|4|4513332766303F,4513332766303F,proyector mirror Assy,,11567,4513332766303F,PROJECTOR MIRROR ASSY,MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,0,20,Insuficiente,task sin equipo asociado | match Dolibarr exacto/alias (REF_EXACT),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
953_NOEQUIP_953|2|5|155579,953,2021-02-03T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,953|2|5|155579,155579,Lens Ricoh FL-Bc1218A,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
"954_NOEQUIP_954|2|0|motores: 451333264430
tornillo: 8113024 2521_01",954,2021-02-07T19:30:00.000Z,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,SERVICIO DE SALUD DE MAGALLANES,,,PREVENTIVA PROGRAMADA,FINISHED,raguila,,"954|2|0|motores: 451333264430
tornillo: 8113024 2521_01","motores: 451333264430
tornillo: 8113024 2521_01",03 motores y 01 tornillo.,,,,,NO_MATCH,NONE,0,true,PREVENTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (NO_MATCH),120,0,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
955_NOEQUIP_955|2|0|1347987,955,2021-02-09T17:30:00.000Z,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,SERVICIO DE SALUD DE MAGALLANES,,,CORRECTIVA PROGRAMADA,FINISHED,raguila,,955|2|0|1347987,1347987,pcb motor drive,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
956_NOEQUIP_956|2|0|No hay,956,2021-02-10T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,956|2|0|No hay,No hay,No hay,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
957_Linac-153935_957|2|0|1017632,957,2021-02-10T11:00:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,UC CHRISTUS - CECA,Linac-153935,,CORRECTIVA NO PROGRAMADA,FINISHED,acorbea,,957|2|0|1017632,1017632,"pcb assy, camera CCU",,11872,1017632_usado,PCB ASSY CAMERA CCU,MATCHED,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,1,85,Alta,task con 1 solo equipo asociado | match Dolibarr por método débil (REF_LIKE),0,141,OK,
960_APOTECA-PS_960|2|0|NA,960,2021-02-12T18:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,APOTECA-PS,,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,,960|2|0|NA,NA,NA,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
96_Linac-153935_96|2|0|s/n,96,2018-11-08T10:00:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,UC CHRISTUS - CECA,Linac-153935,,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,,96|2|0|s/n,s/n,no hay,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),90,30,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
94_Linac-201110_94|2|0|1018268,94,2018-11-06T11:00:40.513Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),Linac-201110,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,94|2|0|1018268,1018268,"FRU MOTOR BRUSH SET (ELECTROCRAFT).
",,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),29,91,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
92_153038_92|2|0|sin numero,92,2018-11-05T12:30:56.143Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,153038,,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,,92|2|0|sin numero,sin numero,no hay,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
90_Linac-154325_90|2|0|No hay.,90,2018-10-30T14:00:01.725Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),Linac-154325,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,90|2|0|No hay.,No hay.,Brocha y aspiradora.,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
89_153038_89|2|0|No hay,89,2018-10-29T19:43:38.843Z,FIELD_BEAT_CLIENT||ACME,ACME,153038,,CORRECTIVA NO PROGRAMADA,SCHEDULED,,,89|2|0|No hay,No hay,No hay,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),14,106,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
87_NOEQUIP_87|2|0|1016474,87,2018-10-27T16:53:00.000Z,FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,UC CHRISTUS - CECA,,,CORRECTIVA PROGRAMADA,FINISHED,scarcamo,,87|2|0|1016474,1016474,1 Freno DLG,,11873,1016474_usado,"KIT, SPARES, DLG BRAKE",MATCHED,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,0,17,Insuficiente,task sin equipo asociado | match Dolibarr por método débil (REF_LIKE),180,0,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
85_Linac-105277_85|2|0|N/A,85,2018-10-25T13:00:46.822Z,FIELD_BEAT_CLIENT|76.105.383-3|TORRE MÉDICA - RANCAGUA,TORRE MÉDICA - RANCAGUA,Linac-105277,,CORRECTIVA PROGRAMADA,FINISHED,jecheverria,,85|2|0|N/A,N/A,N/C,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
81_Linac-153935_81|2|0|,81,2018-10-23T14:30:20.166Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,UC CHRISTUS - CECA,Linac-153935,,CORRECTIVA NO PROGRAMADA,FINISHED,scarcamo,,81|2|0|,,DLG PCB  SN 1538489 / 1 Tornillo-Nuez-Motor Agility Banco Y2,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,165,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
8_2286_8|2|0|no hay,8,2018-08-21T12:17:08.389Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,EYG MEDICAL SYSTEMS LTDA.,2286,,PREVENTIVA PROGRAMADA,FINISHED,mreyes,,8|2|0|no hay,no hay,no hay,,,,,NO_MATCH,NONE,0,true,PREVENTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,240,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
78_NOEQUIP_78|2|0|45133308530,78,2018-10-20T11:30:00.000Z,FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,UC CHRISTUS - CECA,,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,78|2|0|45133308530,45133308530,Magnetron MG6370E.  Serie 18088055,,11007,45133308530,"New fast tune magnetron, MG6370",MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,0,20,Insuficiente,task sin equipo asociado | match Dolibarr exacto/alias (REF_EXACT),120,0,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
76_153038_76|2|0|,76,2018-10-18T10:20:54.188Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,153038,,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,,76|2|0|,,Fusible de retardo de 10 amp.,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),69,51,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
74_Linac-154325_74|2|0|Sin numero,74,2018-10-10T14:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),Linac-154325,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,74|2|0|Sin numero,Sin numero,Conector Rs,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
72_Linac-151673_72|2|0|No hay,72,2018-10-12T20:00:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,CLINICA ALEMANA DE SANTIAGO,Linac-151673,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,72|2|0|No hay,No hay,No hay,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,179,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
70_Linac-201073_70|2|0|9239 315 18204,70,2018-10-26T12:00:00.000Z,FIELD_BEAT_CLIENT|96.606.750-0|CLÍNICA ALEMANA DE TEMUCO,CLÍNICA ALEMANA DE TEMUCO,Linac-201073,,PREVENTIVA PROGRAMADA,FINISHED,mreyes,,70|2|0|9239 315 18204,9239 315 18204,"Ampolleta PHILLIPS 13,8V50W.  GX5.3.    N/P. 13289.",,11448,923931518204,AMPOLLETA MLC TYPE 13289,MATCHED,REF_NORMALIZED_EXACT,0.85,true,PREVENTIVE_REPLACEMENT_LIKELY,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_NORMALIZED_EXACT),0,360,OK,
67_Linac-201172_67|2|0|No hay.,67,2018-10-05T13:45:00.000Z,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,INRAD,Linac-201172,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,67|2|0|No hay.,No hay.,No hay.,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
63_153038_63|2|0|1026565,63,2018-10-10T19:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,153038,,PREVENTIVA PROGRAMADA,FINISHED,mreyes,,63|2|0|1026565,1026565,Temp Controller NSerie 900658090004,,11028,1026565,Temperature controller,MATCHED,REF_EXACT,1,true,PREVENTIVE_REPLACEMENT_LIKELY,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_EXACT),180,116,OK,
61_Linac-152171_61|2|0|N/A,61,2018-09-28T14:45:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,CLINICA ALEMANA DE SANTIAGO,Linac-152171,,ASISTENCIA REMOTA,FINISHED,rcammalleri,,61|2|0|N/A,N/A,N/A,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,false,UNKNOWN,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,75,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
6_2286_6|2|0|None,6,2018-08-21T11:47:57.173Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,EYG MEDICAL SYSTEMS LTDA.,2286,,CORRECTIVA NO PROGRAMADA,FINISHED,rcammalleri,,6|2|0|None,None,None,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
56_Linac-154325_56|2|0|No hay,56,2018-09-20T12:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),Linac-154325,,CORRECTIVA PROGRAMADA,SCHEDULED,,,56|2|0|No hay,No hay,No hay,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),60,85,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
54_NOEQUIP_54|2|0|8213-219-00352,54,2018-09-24T10:50:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,UC CHRISTUS - CECA,,,CORRECTIVA NO PROGRAMADA,FINISHED,rcammalleri,,54|2|0|8213-219-00352,8213-219-00352,Fuse 10A - 250V,,11061,821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",MATCHED,REF_NORMALIZED_EXACT,0.85,true,CORRECTIVE_REPLACEMENT_LIKELY,0,20,Insuficiente,task sin equipo asociado | match Dolibarr exacto/alias (REF_NORMALIZED_EXACT),40,80,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments
50_TPS-FALP_50|3|0|653950-001,50,2018-11-24T11:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,TPS-FALP,,INSTALACION - INTEGRACION,FINISHED,rcammalleri,,50|3|0|653950-001,653950-001,Disco HP 146GB 15K 6G SFF DÍAS x1,,11296,653950,HP 146GB 15K 6G SFF SAS SC HDD,MATCHED,REF_LIKE,0.5,false,UNKNOWN,1,85,Alta,task con 1 solo equipo asociado | match Dolibarr por método débil (REF_LIKE),240,0,OK,
50_TPS-FALP_50|2|0|669324-B21,50,2018-11-24T11:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,TPS-FALP,,INSTALACION - INTEGRACION,FINISHED,rcammalleri,,50|2|0|669324-B21,669324-B21,Memoria HP 8GB PC3-12600 DDR3 ECC x64,,11303,669324-B21,HP 8GB PC3-12800E DDR3-1600 ECC DIMM,MATCHED,REF_EXACT,1,false,UNKNOWN,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_EXACT),240,0,OK,
"45_Linac-152280_45|3|0|4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412",45,2018-11-16T19:00:00.000Z,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,SERVICIO DE SALUD DE MAGALLANES,Linac-152280,,CORRECTIVA PROGRAMADA,FINISHED,raguila,,"45|3|0|4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412","4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412","Mirror Assembly
Beam Spitter Mirror Assy
Beam Spitter Mirror
Fine Pot 20K ",,11571,45133327662,BEAM SPLITTER MIRROR ASSY,MATCHED,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,1,85,Alta,task con 1 solo equipo asociado | match Dolibarr por método débil (REF_LIKE),90,150,OK,
41_NOEQUIP_41|2|0|,41,2018-09-11T11:51:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,,,ASISTENCIA REMOTA,FINISHED,scarcamo,,41|2|0|,,"Sesión Webex
",,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,false,UNKNOWN,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,0,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
4_2286_4|2|0|cafe 2335689,4,2018-08-21T11:46:50.653Z,FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,EYG MEDICAL SYSTEMS LTDA.,2286,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,,4|2|0|cafe 2335689,cafe 2335689,Escobas huaipe,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
38_TPS-HCVB_38|2|0|N/A,38,2018-09-04T19:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),TPS-HCVB,,CORRECTIVA NO PROGRAMADA,FINISHED,rcammalleri,,38|2|0|N/A,N/A,N/A,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
36_Linac-151673_36|2|0|No hay.,36,2018-09-07T16:00:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,CLINICA ALEMANA DE SANTIAGO,Linac-151673,,PREVENTIVA PROGRAMADA,FINISHED,mreyes,,36|2|0|No hay.,No hay.,Grasa. WD40. Paños de limpieza.,,,,,NO_MATCH,NONE,0,true,PREVENTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,240,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
34_Linac-152171_34|2|0|none,34,2018-09-04T15:00:21.247Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,CLINICA ALEMANA DE SANTIAGO,Linac-152171,,CORRECTIVA PROGRAMADA,FINISHED,rcammalleri,,34|2|0|none,none,none,,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,153,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
